plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon hash isEngine nROCs power mrot phi HDorLD hash_hdld dataPp0 trigPp0 dataPp1 trigPp1
1 2 2 gIe 167.450 290.032 4 6 83.705 338.382 83.703 309.978 226.597 227.478 251.195 241.682 251.129 338.368 167.471 386.668 83.705 338.382 1 0 6.754 7.000 4.121 4.000 4.121 4.000 100 0 102020 False 6 7.200 3 60.000 1 102021 1020 101020 -55 -33
1 2 3 FI 83.726 435.018 2 6 167.471 386.668 167.405 483.355 83.747 531.655 -0.018 483.368 0.047 386.682 83.705 338.382 167.471 386.668 1 1 6.534 7.000 3.088 3.000 3.665 3.000 104 0 102030 False 6 7.200 1 79.106 1 102031 1030 101030 -55 -33
1 2 4 FI 0.003 580.005 2 6 83.747 531.655 83.682 628.341 -0.063 676.691 -83.742 628.355 -83.763 531.718 -0.018 483.368 83.747 531.655 1 1 4.698 5.000 2.283 2.000 2.452 2.000 104 0 102040 False 6 7.200 1 90.000 1 102041 1030 101030 -55 -33
1 2 5 FI -83.721 724.991 2 6 -0.063 676.691 0.008 773.414 -83.737 821.764 -167.466 773.341 -167.487 676.705 -83.742 628.355 -0.063 676.691 1 1 3.389 4.000 1.709 2.000 1.764 2.000 104 0 102050 True 6 7.200 1 96.587 1 102051 1030 101030 -55 -33
1 2 6 FM -167.395 870.064 2 6 -83.737 821.764 -83.716 918.400 -167.460 966.750 -251.139 918.414 -251.210 821.691 -167.466 773.341 -83.737 821.764 1 1 2.780 3.000 1.072 1.000 1.054 1.000 110 0 102060 False 3 3.600 1 100.890 0 102060 1030 101030 -55 -33
1 2 7 FM -251.118 1015.050 2 6 -167.460 966.750 -167.439 1063.386 -251.184 1111.736 -334.863 1063.400 -334.884 966.764 -251.139 918.414 -167.460 966.750 1 1 2.131 3.000 0.840 1.000 0.817 1.000 110 0 102070 True 3 3.600 1 103.896 0 102070 1030 101030 -55 -33
1 2 8 FM -334.842 1160.036 2 6 -251.184 1111.736 -251.163 1208.373 -334.908 1256.723 -418.587 1208.386 -418.608 1111.750 -334.863 1063.400 -251.184 1111.736 1 1 1.853 2.000 0.678 1.000 0.666 1.000 110 1 102080 False 3 3.600 1 106.101 0 102080 1030 101030 -55 -33
1 2 9 FO -418.652 1305.073 2 6 -334.908 1256.723 -334.887 1353.359 -418.631 1401.709 -502.310 1353.373 -502.331 1256.736 -418.587 1208.386 -334.908 1256.723 1 1 1.815 2.000 0.619 1.000 0.619 1.000 110 1 102090 False 3 3.600 1 107.786 0 102090 1030 101030 -55 -33
1 2 10 cOe -502.376 1450.059 1 3 -418.631 1401.709 -586.055 1401.723 -502.310 1353.373 -418.631 1401.709 0.000 0.000 0.000 0.000 0.000 0.000 1 1 0.000 0.000 0.120 0.000 0.120 0.000 110 1 102100 False 3 3.600 0 109.109 0 102100 1030 101030 -55 -33
1 3 0 FI 502.300 0.000 0 6 502.300 -96.700 586.000 -48.300 586.000 48.300 502.300 96.700 418.600 48.300 418.600 -48.300 502.300 -96.700 0 0 5.580 6.000 2.660 3.000 3.022 3.000 0 0 103000 False 6 7.200 0 0.000 1 103001 1000 101000 -55 -33
1 3 1 FI 418.600 145.000 1 6 418.600 48.300 502.300 96.700 502.300 193.300 418.600 241.700 334.900 193.300 334.900 96.700 418.600 48.300 0 1 6.534 7.000 3.088 3.000 3.665 3.000 4 0 103010 False 6 7.200 1 19.106 1 103011 1010 101010 -55 -33
1 3 2 FI 334.900 290.000 1 6 334.900 193.300 418.600 241.700 418.600 338.400 334.900 386.700 251.200 338.400 251.200 241.700 334.900 193.300 0 1 6.520 7.000 3.089 3.000 3.657 3.000 5 0 103020 False 6 7.200 1 40.890 1 103021 1010 101010 -55 -33
1 3 3 FI 251.150 435.005 1 6 334.895 386.655 334.829 483.341 251.171 531.641 167.405 483.355 167.471 386.668 251.129 338.368 334.895 386.655 1 0 5.580 6.000 2.660 3.000 3.022 3.000 100 0 103030 False 6 7.200 0 60.000 1 103031 1020 101020 -55 -33
1 3 4 FI 167.426 579.991 1 6 251.171 531.641 251.155 628.414 167.497 676.714 83.682 628.341 83.747 531.655 167.405 483.355 251.171 531.641 1 0 4.454 5.000 2.187 2.000 2.319 2.000 102 0 103040 False 6 7.200 0 73.898 1 103041 1020 101020 -55 -33
1 3 5 FI 83.753 725.064 1 6 167.497 676.714 167.432 773.400 83.687 821.750 0.008 773.414 -0.063 676.691 83.682 628.341 167.497 676.714 1 0 3.386 4.000 1.720 2.000 1.776 2.000 102 0 103050 False 6 7.200 0 83.411 1 103051 1020 101020 -55 -33
1 3 6 FM 0.029 870.050 2 6 83.687 821.750 83.708 918.386 -0.037 966.736 -83.716 918.400 -83.737 821.764 0.008 773.414 83.687 821.750 1 1 2.862 3.000 1.105 2.000 1.088 1.000 109 0 103060 False 3 3.600 1 89.998 0 103060 1030 101030 -55 -33
1 3 7 FM -83.695 1015.036 2 6 -0.037 966.736 -0.016 1063.373 -83.760 1111.723 -167.439 1063.386 -167.460 966.750 -83.716 918.400 -0.037 966.736 1 1 2.211 3.000 0.868 1.000 0.845 1.000 109 0 103070 True 3 3.600 1 94.714 0 103070 1030 101030 -55 -33
1 3 8 FM -167.418 1160.023 2 6 -83.760 1111.723 -83.739 1208.359 -167.484 1256.709 -251.163 1208.373 -251.184 1111.736 -167.439 1063.386 -83.760 1111.723 1 1 1.865 2.000 0.743 1.000 0.724 1.000 109 1 103080 False 3 3.600 1 98.212 0 103080 1030 101030 -55 -33
1 3 9 FO -251.142 1305.009 2 6 -167.484 1256.709 -167.413 1353.432 -251.158 1401.782 -334.887 1353.359 -334.908 1256.723 -251.163 1208.373 -167.484 1256.709 1 1 1.651 2.000 0.607 1.000 0.601 1.000 109 1 103090 False 3 3.600 1 100.893 0 103090 1030 101030 -55 -33
1 3 10 aOe -334.902 1450.132 2 4 -251.137 1498.418 -418.631 1401.709 -334.887 1353.359 -251.158 1401.782 -251.137 1498.418 0.000 0.000 0.000 0.000 1 1 0.798 1.000 0.317 1.000 0.317 1.000 109 1 103100 False 3 3.600 1 103.004 0 103100 1030 101030 -55 -33
1 4 0 FI 669.800 0.000 0 6 669.800 -96.700 753.500 -48.300 753.500 48.300 669.800 96.700 586.000 48.300 586.000 -48.300 669.800 -96.700 0 0 3.855 4.000 1.899 2.000 2.015 2.000 0 0 104000 True 6 7.200 0 0.000 1 104001 1000 101000 -55 -33
1 4 1 FI 586.000 145.000 0 6 586.000 48.300 669.800 96.700 669.800 193.300 586.000 241.700 502.300 193.300 502.300 96.700 586.000 48.300 0 0 4.454 5.000 2.187 2.000 2.319 2.000 2 0 104010 False 6 7.200 0 13.898 1 104011 1000 101000 -55 -33
1 4 2 FI 502.300 290.000 1 6 502.300 193.300 586.000 241.700 586.000 338.400 502.300 386.700 418.600 338.400 418.600 241.700 502.300 193.300 0 1 4.698 5.000 2.283 2.000 2.452 2.000 4 0 104020 False 6 7.200 1 30.000 1 104021 1010 101010 -55 -33
1 4 3 FI 418.600 435.000 1 6 418.600 338.400 502.300 386.700 502.300 483.400 418.600 531.700 334.900 483.400 334.900 386.700 418.600 338.400 0 1 4.498 5.000 2.183 2.000 2.313 2.000 5 0 104030 True 6 7.200 1 46.101 1 104031 1010 101010 -55 -33
1 4 4 FI 334.900 580.064 1 6 418.645 531.714 418.579 628.400 334.921 676.700 251.155 628.414 251.171 531.641 334.829 483.341 418.645 531.714 1 0 3.855 4.000 1.899 2.000 2.015 2.000 100 0 104040 True 6 7.200 0 60.000 1 104041 1020 101020 -55 -33
1 4 5 FI 251.176 725.050 1 6 334.921 676.700 334.855 773.386 251.197 821.686 167.432 773.400 167.497 676.714 251.155 628.414 334.921 676.700 1 0 3.322 4.000 1.720 2.000 1.708 2.000 102 0 104050 True 6 7.200 0 70.893 1 104051 1020 101020 -55 -33
1 4 6 FM 167.453 870.036 1 6 251.197 821.686 251.132 918.373 167.387 966.723 83.708 918.386 83.687 821.750 167.432 773.400 251.197 821.686 1 0 2.787 3.000 1.070 1.000 1.055 1.000 106 0 104060 False 3 3.600 0 79.106 0 104060 1020 101020 -55 -33
1 4 7 FM 83.729 1015.023 1 6 167.387 966.723 167.408 1063.359 83.663 1111.709 -0.016 1063.373 -0.037 966.736 83.708 918.386 167.387 966.723 1 0 2.229 3.000 0.868 1.000 0.847 1.000 107 0 104070 False 3 3.600 0 85.284 0 104070 1021 101021 -55 -33
1 4 8 FM 0.005 1160.009 1 6 83.663 1111.709 83.734 1208.432 -0.010 1256.782 -83.739 1208.359 -83.760 1111.723 -0.016 1063.373 83.663 1111.709 1 0 1.858 2.000 0.750 1.000 0.730 1.000 108 0 104080 True 3 3.600 0 90.000 0 104080 1021 101021 -55 -33
1 4 9 FO -83.668 1305.082 5 6 -0.010 1256.782 0.011 1353.418 -83.734 1401.768 -167.413 1353.432 -167.484 1256.709 -83.739 1208.359 -0.010 1256.782 1 0 1.685 2.000 0.611 1.000 0.604 1.000 108 0 104090 False 3 3.600 4 93.668 0 104090 1021 101021 -55 -33
1 4 10 bOe -167.392 1450.068 2 5 -83.713 1498.405 -251.137 1498.418 -251.158 1401.782 -167.413 1353.432 -83.734 1401.768 -83.713 1498.405 0.000 0.000 1 0 1.204 2.000 0.447 1.000 0.447 1.000 108 0 104100 False 3 3.600 1 96.585 0 104100 1021 101021 -55 -33
1 5 0 FM 837.200 0.000 0 6 837.200 -96.700 920.900 -48.300 920.900 48.300 837.200 96.700 753.500 48.300 753.500 -48.300 837.200 -96.700 0 0 2.975 4.000 1.165 1.000 1.147 1.000 1 0 105000 False 3 3.600 0 0.000 0 105000 1000 101000 -55 -33
1 5 1 FI 753.500 145.000 0 6 753.500 48.300 837.200 96.700 837.200 193.300 753.500 241.700 669.800 193.300 669.800 96.700 753.500 48.300 0 0 3.322 4.000 1.720 2.000 1.708 2.000 2 0 105010 True 6 7.200 0 10.893 1 105011 1000 101000 -55 -33
1 5 2 FI 669.800 290.000 0 6 669.800 193.300 753.500 241.700 753.500 338.400 669.800 386.700 586.000 338.400 586.000 241.700 669.800 193.300 0 0 3.386 4.000 1.720 2.000 1.776 2.000 2 0 105020 False 6 7.200 0 23.411 1 105021 1000 101000 -55 -33
1 5 3 FI 586.000 435.000 1 6 586.000 338.400 669.800 386.700 669.800 483.400 586.000 531.700 502.300 483.400 502.300 386.700 586.000 338.400 0 1 3.389 4.000 1.709 2.000 1.764 2.000 4 0 105030 True 6 7.200 1 36.587 1 105031 1010 101010 -55 -33
1 5 4 FM 502.300 580.000 1 6 502.300 483.400 586.000 531.700 586.000 628.400 502.300 676.700 418.600 628.400 418.600 531.700 502.300 483.400 0 1 3.317 4.000 1.338 2.000 1.333 2.000 11 0 105040 False 3 3.600 1 49.106 0 105040 1010 101010 -55 -33
1 5 5 FM 418.600 725.036 1 6 502.345 676.686 502.279 773.373 418.621 821.673 334.855 773.386 334.921 676.700 418.579 628.400 502.345 676.686 1 0 2.975 4.000 1.165 1.000 1.147 1.000 101 0 105050 False 3 3.600 0 60.000 0 105050 1020 101020 -55 -33
1 5 6 FM 334.876 870.023 1 6 418.621 821.673 418.555 918.359 334.897 966.659 251.132 918.373 251.197 821.686 334.855 773.386 418.621 821.673 1 0 2.568 3.000 0.988 1.000 0.972 1.000 103 0 105060 False 3 3.600 0 68.948 0 105060 1020 101020 -55 -33
1 5 7 FM 251.153 1015.009 1 6 334.897 966.659 334.882 1063.432 251.137 1111.782 167.408 1063.359 167.387 966.723 251.132 918.373 334.897 966.659 1 0 2.126 3.000 0.838 1.000 0.814 1.000 106 0 105070 True 3 3.600 0 76.102 0 105070 1020 101020 -55 -33
1 5 8 FM 167.479 1160.082 1 6 251.137 1111.782 251.158 1208.418 167.413 1256.768 83.734 1208.432 83.663 1111.709 167.408 1063.359 251.137 1111.782 1 0 1.837 2.000 0.744 1.000 0.724 1.000 107 0 105080 True 3 3.600 0 81.785 0 105080 1021 101021 -55 -33
1 5 9 FO 83.755 1305.068 1 6 167.413 1256.768 167.434 1353.405 83.690 1401.755 0.011 1353.418 -0.010 1256.782 83.734 1208.432 167.413 1256.768 1 0 1.705 2.000 0.617 1.000 0.610 1.000 108 1 105090 False 3 3.600 0 86.328 0 105090 1021 101021 -55 -33
1 5 10 dOe 0.032 1450.055 1 5 83.690 1401.755 83.768 1450.091 -83.705 1450.018 -83.734 1401.768 0.011 1353.418 83.690 1401.755 0.000 0.000 1 0 0.717 1.000 0.358 1.000 0.358 1.000 108 1 105100 False 2 2.400 0 89.999 0 105100 1021 101021 -55 -33
1 6 0 FM 1004.600 0.000 0 6 1004.600 -96.700 1088.400 -48.300 1088.400 48.300 1004.600 96.700 920.900 48.300 920.900 -48.300 1004.600 -96.700 0 0 2.248 3.000 0.884 1.000 0.860 1.000 1 0 106000 True 3 3.600 0 0.000 0 106000 1000 101000 -55 -33
1 6 1 FM 920.900 145.000 0 6 920.900 48.300 1004.600 96.700 1004.600 193.300 920.900 241.700 837.200 193.300 837.200 96.700 920.900 48.300 0 0 2.568 3.000 0.988 1.000 0.972 1.000 3 0 106010 False 3 3.600 0 8.948 0 106010 1000 101000 -55 -33
1 6 2 FM 837.200 290.000 0 6 837.200 193.300 920.900 241.700 920.900 338.400 837.200 386.700 753.500 338.400 753.500 241.700 837.200 193.300 0 0 2.787 3.000 1.070 1.000 1.055 1.000 6 0 106020 False 3 3.600 0 19.106 0 106020 1000 101000 -55 -33
1 6 3 FM 753.500 435.000 1 6 753.500 338.400 837.200 386.700 837.200 483.400 753.500 531.700 669.800 483.400 669.800 386.700 753.500 338.400 0 1 2.862 3.000 1.105 2.000 1.088 1.000 9 0 106030 False 3 3.600 1 29.998 0 106030 1010 101010 -55 -33
1 6 4 FM 669.800 580.000 1 6 669.800 483.400 753.500 531.700 753.500 628.400 669.800 676.700 586.000 628.400 586.000 531.700 669.800 483.400 0 1 2.780 3.000 1.072 1.000 1.054 1.000 10 0 106040 False 3 3.600 1 40.890 0 106040 1010 101010 -55 -33
1 6 5 FM 586.000 725.000 1 6 586.000 628.400 669.800 676.700 669.800 773.400 586.000 821.700 502.300 773.400 502.300 676.700 586.000 628.400 0 1 2.595 3.000 0.990 1.000 0.973 1.000 11 0 106050 True 3 3.600 1 51.052 0 106050 1010 101010 -55 -33
1 6 6 FM 502.300 870.009 1 6 586.045 821.659 586.029 918.432 502.371 966.732 418.555 918.359 418.621 821.673 502.279 773.373 586.045 821.659 1 0 2.248 3.000 0.884 1.000 0.860 1.000 101 0 106060 True 3 3.600 0 60.000 0 106060 1020 101020 -55 -33
1 6 7 FM 418.626 1015.082 1 6 502.371 966.732 502.305 1063.418 418.647 1111.718 334.882 1063.432 334.897 966.659 418.555 918.359 502.371 966.732 1 0 2.006 3.000 0.797 1.000 0.775 1.000 103 0 106070 True 3 3.600 0 67.588 0 106070 1020 101020 -55 -33
1 6 8 FM 334.903 1160.068 1 6 418.647 1111.718 418.582 1208.405 334.837 1256.755 251.158 1208.418 251.137 1111.782 334.882 1063.432 418.647 1111.718 1 0 1.833 2.000 0.678 1.000 0.665 1.000 106 1 106080 False 3 3.600 0 73.897 0 106080 1020 101020 -55 -33
1 6 9 FO 251.179 1305.055 1 6 334.837 1256.755 334.858 1353.391 251.113 1401.741 167.434 1353.405 167.413 1256.768 251.158 1208.418 334.837 1256.755 1 0 1.659 2.000 0.598 1.000 0.593 1.000 107 1 106090 False 3 3.600 0 79.106 0 106090 1021 101021 -55 -33
1 6 10 bOe 167.455 1450.041 2 5 251.134 1498.377 83.711 1498.391 83.690 1401.755 167.434 1353.405 251.113 1401.741 251.134 1498.377 0.000 0.000 1 0 1.187 2.000 0.445 1.000 0.445 1.000 108 1 106100 False 3 3.600 1 83.412 0 106100 1021 101021 -55 -33
1 7 0 FM 1172.100 0.000 0 6 1172.100 -96.700 1255.800 -48.300 1255.800 48.300 1172.100 96.700 1088.400 48.300 1088.400 -48.300 1172.100 -96.700 0 0 1.838 2.000 0.736 1.000 0.719 1.000 1 1 107000 False 3 3.600 0 0.000 0 107000 1000 101000 -55 -33
1 7 1 FM 1088.400 145.000 0 6 1088.400 48.300 1172.100 96.700 1172.100 193.300 1088.400 241.700 1004.600 193.300 1004.600 96.700 1088.400 48.300 0 0 2.006 3.000 0.797 1.000 0.775 1.000 3 0 107010 True 3 3.600 0 7.588 0 107010 1000 101000 -55 -33
1 7 2 FM 1004.600 290.000 0 6 1004.600 193.300 1088.400 241.700 1088.400 338.400 1004.600 386.700 920.900 338.400 920.900 241.700 1004.600 193.300 0 0 2.126 3.000 0.838 1.000 0.814 1.000 6 0 107020 True 3 3.600 0 16.102 0 107020 1000 101000 -55 -33
1 7 3 FM 920.900 435.000 0 6 920.900 338.400 1004.600 386.700 1004.600 483.400 920.900 531.700 837.200 483.400 837.200 386.700 920.900 338.400 0 0 2.229 3.000 0.868 1.000 0.847 1.000 7 0 107030 False 3 3.600 0 25.284 0 107030 1001 101001 -55 -33
1 7 4 FM 837.200 580.000 1 6 837.200 483.400 920.900 531.700 920.900 628.400 837.200 676.700 753.500 628.400 753.500 531.700 837.200 483.400 0 1 2.211 3.000 0.868 1.000 0.845 1.000 9 0 107040 True 3 3.600 1 34.714 0 107040 1010 101010 -55 -33
1 7 5 FM 753.500 725.000 1 6 753.500 628.400 837.200 676.700 837.200 773.400 753.500 821.700 669.800 773.400 669.800 676.700 753.500 628.400 0 1 2.131 3.000 0.840 1.000 0.817 1.000 10 0 107050 True 3 3.600 1 43.896 0 107050 1010 101010 -55 -33
1 7 6 FM 669.800 870.000 1 6 669.800 773.400 753.500 821.700 753.500 918.400 669.800 966.700 586.000 918.400 586.000 821.700 669.800 773.400 0 1 2.001 3.000 0.795 1.000 0.773 1.000 11 1 107060 False 3 3.600 1 52.408 0 107060 1010 101010 -55 -33
1 7 7 FM 586.050 1015.068 1 6 669.795 966.718 669.729 1063.405 586.071 1111.705 502.305 1063.418 502.371 966.732 586.029 918.432 669.795 966.718 1 0 1.838 2.000 0.736 1.000 0.719 1.000 101 1 107070 False 3 3.600 0 60.000 0 107070 1020 101020 -55 -33
1 7 8 FO 502.326 1160.055 1 6 586.071 1111.705 586.005 1208.391 502.347 1256.691 418.582 1208.405 418.647 1111.718 502.305 1063.418 586.071 1111.705 1 0 1.774 2.000 0.647 1.000 0.637 1.000 103 1 107080 False 3 3.600 0 66.586 0 107080 1020 101020 -55 -33
1 7 9 FO 418.603 1305.041 1 6 502.347 1256.691 502.282 1353.377 418.537 1401.727 334.858 1353.391 334.837 1256.755 418.582 1208.405 502.347 1256.691 1 0 1.811 2.000 0.617 1.000 0.617 1.000 106 1 107090 False 3 3.600 0 72.216 0 107090 1020 101020 -55 -33
1 7 10 aOe 334.879 1450.027 1 4 418.537 1401.727 251.134 1498.377 251.113 1401.741 334.858 1353.391 418.537 1401.727 0.000 0.000 0.000 0.000 1 0 0.813 1.000 0.323 1.000 0.323 1.000 107 1 107100 False 3 3.600 0 76.996 0 107100 1021 101021 -55 -33
1 8 0 FO 1339.500 0.000 0 6 1339.500 -96.700 1423.200 -48.300 1423.200 48.300 1339.500 96.700 1255.800 48.300 1255.800 -48.300 1339.500 -96.700 0 0 1.902 2.000 0.639 1.000 0.639 1.000 1 1 108000 False 3 3.600 0 0.000 0 108000 1000 101000 -55 -33
1 8 1 FO 1255.800 145.000 0 6 1255.800 48.300 1339.500 96.700 1339.500 193.300 1255.800 241.700 1172.100 193.300 1172.100 96.700 1255.800 48.300 0 0 1.774 2.000 0.647 1.000 0.637 1.000 3 1 108010 False 3 3.600 0 6.586 0 108010 1000 101000 -55 -33
1 8 2 FM 1172.100 290.000 0 6 1172.100 193.300 1255.800 241.700 1255.800 338.400 1172.100 386.700 1088.400 338.400 1088.400 241.700 1172.100 193.300 0 0 1.833 2.000 0.678 1.000 0.665 1.000 6 1 108020 False 3 3.600 0 13.897 0 108020 1000 101000 -55 -33
1 8 3 FM 1088.400 435.000 0 6 1088.400 338.400 1172.100 386.700 1172.100 483.400 1088.400 531.700 1004.600 483.400 1004.600 386.700 1088.400 338.400 0 0 1.837 2.000 0.744 1.000 0.724 1.000 7 0 108030 True 3 3.600 0 21.785 0 108030 1001 101001 -55 -33
1 8 4 FM 1004.600 580.000 0 6 1004.600 483.400 1088.400 531.700 1088.400 628.400 1004.600 676.700 920.900 628.400 920.900 531.700 1004.600 483.400 0 0 1.858 2.000 0.750 1.000 0.730 1.000 8 0 108040 True 3 3.600 0 30.000 0 108040 1001 101001 -55 -33
1 8 5 FM 920.900 725.000 1 6 920.900 628.400 1004.600 676.700 1004.600 773.400 920.900 821.700 837.200 773.400 837.200 676.700 920.900 628.400 0 1 1.865 2.000 0.743 1.000 0.724 1.000 9 1 108050 False 3 3.600 1 38.212 0 108050 1010 101010 -55 -33
1 8 6 FM 837.200 870.000 1 6 837.200 773.400 920.900 821.700 920.900 918.400 837.200 966.700 753.500 918.400 753.500 821.700 837.200 773.400 0 1 1.853 2.000 0.678 1.000 0.666 1.000 10 1 108060 False 3 3.600 1 46.101 0 108060 1010 101010 -55 -33
1 8 7 FO 753.500 1015.100 1 6 753.500 918.400 837.200 966.700 837.200 1063.400 753.500 1111.700 669.800 1063.400 669.800 966.700 753.500 918.400 0 1 1.782 2.000 0.642 1.000 0.633 1.000 11 1 108070 False 3 3.600 1 53.414 0 108070 1010 101010 -55 -33
1 8 8 FO 669.750 1160.041 1 6 753.495 1111.691 753.429 1208.377 669.771 1256.677 586.005 1208.391 586.071 1111.705 669.729 1063.405 753.495 1111.691 1 0 1.902 2.000 0.639 1.000 0.639 1.000 101 1 108080 False 3 3.600 0 60.000 0 108080 1020 101020 -55 -33
1 8 9 FOe 586.026 1305.027 1 6 669.771 1256.677 669.755 1353.450 586.097 1401.750 502.282 1353.377 502.347 1256.691 586.005 1208.391 669.771 1256.677 1 0 1.382 2.000 0.522 1.000 0.521 1.000 103 1 108090 False 3 3.600 0 65.817 0 108090 1020 101020 -55 -33
1 8 10 cOe 502.353 1450.100 1 3 586.097 1401.750 418.537 1401.727 502.282 1353.377 586.097 1401.750 0.000 0.000 0.000 0.000 0.000 0.000 1 0 0.000 0.000 0.120 0.000 0.120 0.000 106 1 108100 False 3 3.600 0 70.893 0 108100 1020 101020 -55 -33
1 9 0 cOe 1507.000 0.000 5 3 1423.200 -48.300 1507.000 96.700 1423.200 48.300 1423.200 -48.300 0.000 0.000 0.000 0.000 0.000 0.000 0 0 0.000 0.000 0.120 0.000 0.120 0.000 1 1 109000 False 3 3.600 5 0.000 0 109000 1000 101000 -55 -33
1 9 1 FOe 1423.200 145.000 0 6 1423.200 48.300 1507.000 96.700 1507.000 193.300 1423.200 241.700 1339.500 193.300 1339.500 96.700 1423.200 48.300 0 0 1.382 2.000 0.522 1.000 0.521 1.000 3 1 109010 False 3 3.600 0 5.817 0 109010 1000 101000 -55 -33
1 9 2 FO 1339.500 290.000 0 6 1339.500 193.300 1423.200 241.700 1423.200 338.400 1339.500 386.700 1255.800 338.400 1255.800 241.700 1339.500 193.300 0 0 1.811 2.000 0.617 1.000 0.617 1.000 6 1 109020 False 3 3.600 0 12.216 0 109020 1000 101000 -55 -33
1 9 3 FO 1255.800 435.000 0 6 1255.800 338.400 1339.500 386.700 1339.500 483.400 1255.800 531.700 1172.100 483.400 1172.100 386.700 1255.800 338.400 0 0 1.659 2.000 0.598 1.000 0.593 1.000 7 1 109030 False 3 3.600 0 19.106 0 109030 1001 101001 -55 -33
1 9 4 FO 1172.100 580.000 0 6 1172.100 483.400 1255.800 531.700 1255.800 628.400 1172.100 676.700 1088.400 628.400 1088.400 531.700 1172.100 483.400 0 0 1.705 2.000 0.617 1.000 0.610 1.000 8 1 109040 False 3 3.600 0 26.328 0 109040 1001 101001 -55 -33
1 9 5 FO 1088.400 725.000 4 6 1088.400 628.400 1172.100 676.700 1172.100 773.400 1088.400 821.700 1004.600 773.400 1004.600 676.700 1088.400 628.400 0 0 1.685 2.000 0.611 1.000 0.604 1.000 8 0 109050 False 3 3.600 4 33.668 0 109050 1001 101001 -55 -33
