plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd
1 7 3 FM 920.90000 435.00000 0 6 920.90000 338.40000 1004.60000 386.70000 1004.60000 483.40000 920.90000 531.70000 837.20000 483.40000 837.20000 386.70000 920.90000 338.40000 0 0 2.22900 3.00000 0.86800 1.00000 0.84700 1.00000
1 8 3 FM 1088.40000 435.00000 0 6 1088.40000 338.40000 1172.10000 386.70000 1172.10000 483.40000 1088.40000 531.70000 1004.60000 483.40000 1004.60000 386.70000 1088.40000 338.40000 0 0 1.83700 2.00000 0.74400 1.00000 0.72400 1.00000
1 9 3 FO 1255.80000 435.00000 0 6 1255.80000 338.40000 1339.50000 386.70000 1339.50000 483.40000 1255.80000 531.70000 1172.10000 483.40000 1172.10000 386.70000 1255.80000 338.40000 0 0 1.65900 2.00000 0.59800 1.00000 0.59300 1.00000
1 5 4 FMI 502.30000 580.00000 1 6 502.30000 483.40000 586.00000 531.70000 586.00000 628.40000 502.30000 676.70000 418.60000 628.40000 418.60000 531.70000 502.30000 483.40000 0 0 3.31700 4.00000 1.33800 2.00000 1.33300 2.00000
1 6 4 FM 669.80000 580.00000 1 6 669.80000 483.40000 753.50000 531.70000 753.50000 628.40000 669.80000 676.70000 586.00000 628.40000 586.00000 531.70000 669.80000 483.40000 0 0 2.78000 3.00000 1.07200 1.00000 1.05400 1.00000
1 7 4 FM 837.20000 580.00000 1 6 837.20000 483.40000 920.90000 531.70000 920.90000 628.40000 837.20000 676.70000 753.50000 628.40000 753.50000 531.70000 837.20000 483.40000 0 0 2.21100 3.00000 0.86800 1.00000 0.84500 1.00000
1 8 4 FM 1004.60000 580.00000 0 6 1004.60000 483.40000 1088.40000 531.70000 1088.40000 628.40000 1004.60000 676.70000 920.90000 628.40000 920.90000 531.70000 1004.60000 483.40000 0 0 1.85800 2.00000 0.75000 1.00000 0.73000 1.00000
1 9 4 FO 1172.10000 580.00000 0 6 1172.10000 483.40000 1255.80000 531.70000 1255.80000 628.40000 1172.10000 676.70000 1088.40000 628.40000 1088.40000 531.70000 1172.10000 483.40000 0 0 1.70500 2.00000 0.61700 1.00000 0.61000 1.00000
1 6 5 FM 586.00000 725.00000 1 6 586.00000 628.40000 669.80000 676.70000 669.80000 773.40000 586.00000 821.70000 502.30000 773.40000 502.30000 676.70000 586.00000 628.40000 0 0 2.59500 3.00000 0.99000 1.00000 0.97300 1.00000
1 7 5 FM 753.50000 725.00000 1 6 753.50000 628.40000 837.20000 676.70000 837.20000 773.40000 753.50000 821.70000 669.80000 773.40000 669.80000 676.70000 753.50000 628.40000 0 0 2.13100 3.00000 0.84000 1.00000 0.81700 1.00000
