# this is V11.1:
#  same geometry (i.e. wafer type, vertices coordinates etc)
#  as we got from M. Noy at the start of our (PS, GF) work, i.e. here:
# https://gitlab.cern.ch/mnoy/hgcal_modmap/-/blob/59b99c3771802d268d31a3f0c9ff84ccbd044d83/geometries/v11.1/geomCMSSW1-50_corrected_withmult_F_rotations_subcassettes.txt
# differences w.r.t it are organisation of numbers and extra columns:
# - vertices coordinates are always 2x12, to have fixed format
# - U,V added, as computed by MB_engine.py
# - cassette and sub-cassette index are now 2 separate columns (they were a single one, with two comma-separated-nums)
# - columns added: hash to identify each sensor,
#
plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
1 FI 418.6 435.0 1 6 418.6 338.4 502.3 386.7 502.3 483.4 418.6 531.7 334.9 483.4 334.9 386.7 418.6 338.4 0 0 120.99 6.71 2.5 4.48 3 5 4 3 104030 -1 False 6 7.200000000000001 1 46.10067384251665
1 FI 586.0 435.0 1 6 586.0 338.4 669.8 386.7 669.8 483.4 586.0 531.7 502.3 483.4 502.3 386.7 586.0 338.4 0 0 75.42 4.51 1.76 3.53 2 4 5 3 105030 -1 False 6 7.200000000000001 1 36.587267975726995
1 FM 753.5 435.0 1 6 753.5 338.4 837.2 386.7 837.2 483.4 753.5 531.7 669.8 483.4 669.8 386.7 753.5 338.4 0 0 40.56 3.17 0.92 2.67 1 3 6 3 106030 -1 False 3 3.6000000000000005 1 29.9980935859781
1 FM 920.9 435.0 0 6 920.9 338.4 1004.6 386.7 1004.6 483.4 920.9 531.7 837.2 483.4 837.2 386.7 920.9 338.4 0 0 24.68 2.34 0.66 2.14 1 3 7 3 107030 -1 False 3 3.6000000000000005 0 25.284363602508797
1 FM 1088.4 435.0 0 6 1088.4 338.4 1172.1 386.7 1172.1 483.4 1088.4 531.7 1004.6 483.4 1004.6 386.7 1088.4 338.4 0 0 15.15 1.8 0.46 1.79 1 2 8 3 108030 -1 False 3 3.6000000000000005 0 21.78507038617312
1 FO 1255.8 435.0 0 6 1255.8 338.4 1339.5 386.7 1339.5 483.4 1255.8 531.7 1172.1 483.4 1172.1 386.7 1255.8 338.4 0 0 9.87 1.4 0.34 1.53 1 2 9 3 109030 -1 False 3 3.6000000000000005 0 19.105713996816164
1 FM 502.3 580.0 1 6 502.3 483.4 586.0 531.7 586.0 628.4 502.3 676.7 418.6 628.4 418.6 531.7 502.3 483.4 0 0 59.74 4.07 1.22 3.25 2 4 5 4 105040 -1 False 3 3.6000000000000005 1 49.10630810254579
1 FM 669.8 580.0 1 6 669.8 483.4 753.5 531.7 753.5 628.4 669.8 676.7 586.0 628.4 586.0 531.7 669.8 483.4 0 0 36.86 3.06 0.86 2.6 1 3 6 4 106040 -1 False 3 3.6000000000000005 1 40.89027514341311
1 FM 837.2 580.0 1 6 837.2 483.4 920.9 531.7 920.9 628.4 837.2 676.7 753.5 628.4 753.5 531.7 837.2 483.4 0 0 24.75 2.34 0.66 2.14 1 3 7 4 107040 -1 False 3 3.6000000000000005 1 34.71365486280657
1 FM 1004.6 580.0 0 6 1004.6 483.4 1088.4 531.7 1088.4 628.4 1004.6 676.7 920.9 628.4 920.9 531.7 1004.6 483.4 0 0 15.53 1.83 0.47 1.81 1 2 8 4 108040 -1 False 3 3.6000000000000005 0 29.99973990859353
1 FO 1172.1 580.0 0 6 1172.1 483.4 1255.8 531.7 1255.8 628.4 1172.1 676.7 1088.4 628.4 1088.4 531.7 1172.1 483.4 0 0 10.68 1.45 0.36 1.57 1 2 9 4 109040 -1 False 3 3.6000000000000005 0 26.327969248565633
1 FM 586.0 725.0 1 6 586.0 628.4 669.8 676.7 669.8 773.4 586.0 821.7 502.3 773.4 502.3 676.7 586.0 628.4 0 0 30.78 2.77 0.76 2.41 1 3 6 5 106050 -1 False 3 3.6000000000000005 1 51.052227444938595
1 FM 753.5 725.0 1 6 753.5 628.4 837.2 676.7 837.2 773.4 753.5 821.7 669.8 773.4 669.8 676.7 753.5 628.4 0 0 22.28 2.23 0.62 2.07 1 3 7 5 107050 -1 False 3 3.6000000000000005 1 43.895686500520256
1 FM 920.9 725.0 1 6 920.9 628.4 1004.6 676.7 1004.6 773.4 920.9 821.7 837.2 773.4 837.2 676.7 920.9 628.4 0 0 14.56 1.8 0.45 1.79 1 2 8 5 108050 -1 False 3 3.6000000000000005 1 38.21241476483334
