plane itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 rate_d rate_t aa bb links_d links_t u v hash MB isEngine nROCs power mrot phi
1 FI 418.60000 435.00000 1 6 418.60000 338.40000 502.30000 386.70000 502.30000 483.40000 418.60000 531.70000 334.90000 483.40000 334.90000 386.70000 418.60000 338.40000 0 0 120.99000 6.71000 2.50000 4.48000 3 5 4 3 104030 5 True 6 7.20000 1 46.10067
1 FI 586.00000 435.00000 1 6 586.00000 338.40000 669.80000 386.70000 669.80000 483.40000 586.00000 531.70000 502.30000 483.40000 502.30000 386.70000 586.00000 338.40000 0 0 75.42000 4.51000 1.76000 3.53000 2 4 5 3 105030 4 True 6 7.20000 1 36.58727
1 FM 753.50000 435.00000 1 6 753.50000 338.40000 837.20000 386.70000 837.20000 483.40000 753.50000 531.70000 669.80000 483.40000 669.80000 386.70000 753.50000 338.40000 0 0 40.56000 3.17000 0.92000 2.67000 1 3 6 3 106030 9 False 3 3.60000 1 29.99809
1 FM 920.90000 435.00000 0 6 920.90000 338.40000 1004.60000 386.70000 1004.60000 483.40000 920.90000 531.70000 837.20000 483.40000 837.20000 386.70000 920.90000 338.40000 0 0 24.68000 2.34000 0.66000 2.14000 1 3 7 3 107030 7 False 3 3.60000 0 25.28436
1 FM 1088.40000 435.00000 0 6 1088.40000 338.40000 1172.10000 386.70000 1172.10000 483.40000 1088.40000 531.70000 1004.60000 483.40000 1004.60000 386.70000 1088.40000 338.40000 0 0 15.15000 1.80000 0.46000 1.79000 1 2 8 3 108030 7 True 3 3.60000 0 21.78507
1 FO 1255.80000 435.00000 0 6 1255.80000 338.40000 1339.50000 386.70000 1339.50000 483.40000 1255.80000 531.70000 1172.10000 483.40000 1172.10000 386.70000 1255.80000 338.40000 0 0 9.87000 1.40000 0.34000 1.53000 1 2 9 3 109030 7 False 3 3.60000 0 19.10571
1 FM 502.30000 580.00000 1 6 502.30000 483.40000 586.00000 531.70000 586.00000 628.40000 502.30000 676.70000 418.60000 628.40000 418.60000 531.70000 502.30000 483.40000 0 0 59.74000 4.07000 1.22000 3.25000 2 4 5 4 105040 11 False 3 3.60000 1 49.10631
1 FM 669.80000 580.00000 1 6 669.80000 483.40000 753.50000 531.70000 753.50000 628.40000 669.80000 676.70000 586.00000 628.40000 586.00000 531.70000 669.80000 483.40000 0 0 36.86000 3.06000 0.86000 2.60000 1 3 6 4 106040 10 False 3 3.60000 1 40.89028
1 FM 837.20000 580.00000 1 6 837.20000 483.40000 920.90000 531.70000 920.90000 628.40000 837.20000 676.70000 753.50000 628.40000 753.50000 531.70000 837.20000 483.40000 0 0 24.75000 2.34000 0.66000 2.14000 1 3 7 4 107040 9 True 3 3.60000 1 34.71365
1 FM 1004.60000 580.00000 0 6 1004.60000 483.40000 1088.40000 531.70000 1088.40000 628.40000 1004.60000 676.70000 920.90000 628.40000 920.90000 531.70000 1004.60000 483.40000 0 0 15.53000 1.83000 0.47000 1.81000 1 2 8 4 108040 8 True 3 3.60000 0 29.99974
1 FO 1172.10000 580.00000 0 6 1172.10000 483.40000 1255.80000 531.70000 1255.80000 628.40000 1172.10000 676.70000 1088.40000 628.40000 1088.40000 531.70000 1172.10000 483.40000 0 0 10.68000 1.45000 0.36000 1.57000 1 2 9 4 109040 8 False 3 3.60000 0 26.32797
1 FM 586.00000 725.00000 1 6 586.00000 628.40000 669.80000 676.70000 669.80000 773.40000 586.00000 821.70000 502.30000 773.40000 502.30000 676.70000 586.00000 628.40000 0 0 30.78000 2.77000 0.76000 2.41000 1 3 6 5 106050 11 True 3 3.60000 1 51.05223
1 FM 753.50000 725.00000 1 6 753.50000 628.40000 837.20000 676.70000 837.20000 773.40000 753.50000 821.70000 669.80000 773.40000 669.80000 676.70000 753.50000 628.40000 0 0 22.28000 2.23000 0.62000 2.07000 1 3 7 5 107050 10 True 3 3.60000 1 43.89569
1 FM 920.90000 725.00000 1 6 920.90000 628.40000 1004.60000 676.70000 1004.60000 773.40000 920.90000 821.70000 837.20000 773.40000 837.20000 676.70000 920.90000 628.40000 0 0 14.56000 1.80000 0.45000 1.79000 1 2 8 5 108050 9 False 3 3.60000 1 38.21241
1 FO 1088.40000 725.00000 4 6 1088.40000 628.40000 1172.10000 676.70000 1172.10000 773.40000 1088.40000 821.70000 1004.60000 773.40000 1004.60000 676.70000 1088.40000 628.40000 0 0 10.93000 1.45000 0.37000 1.57000 1 2 9 5 109050 8 False 3 3.60000 4 33.66820
1 FM 669.80000 870.00000 1 6 669.80000 773.40000 753.50000 821.70000 753.50000 918.40000 669.80000 966.70000 586.00000 918.40000 586.00000 821.70000 669.80000 773.40000 0 0 18.57000 2.03000 0.53000 1.94000 1 2 7 6 107060 11 False 3 3.60000 1 52.40786
1 FM 837.20000 870.00000 1 6 837.20000 773.40000 920.90000 821.70000 920.90000 918.40000 837.20000 966.70000 753.50000 918.40000 753.50000 821.70000 837.20000 773.40000 0 0 13.81000 1.70000 0.43000 1.73000 1 2 8 6 108060 10 False 3 3.60000 1 46.10067
1 FO 1004.60000 870.00000 1 6 1004.60000 773.40000 1088.40000 821.70000 1088.40000 918.40000 1004.60000 966.70000 920.90000 918.40000 920.90000 821.70000 1004.60000 773.40000 0 0 9.59000 1.40000 0.34000 1.53000 1 2 9 6 109060 9 False 3 3.60000 1 40.89310
1 FO 753.50000 1015.10000 1 6 753.50000 918.40000 837.20000 966.70000 837.20000 1063.40000 753.50000 1111.70000 669.80000 1063.40000 669.80000 966.70000 753.50000 918.40000 0 0 11.89000 1.55000 0.38000 1.63000 1 2 8 7 108070 11 False 3 3.60000 1 53.41382
1 FO 920.90000 1015.10000 1 6 920.90000 918.40000 1004.60000 966.70000 1004.60000 1063.40000 920.90000 1111.70000 837.20000 1063.40000 837.20000 966.70000 920.90000 918.40000 0 0 8.35000 1.31000 0.31000 1.48000 1 2 9 7 109070 10 False 3 3.60000 1 47.78565
1 bOe 837.20000 1160.10000 2 5 920.90000 1208.40000 753.50000 1208.40000 753.50000 1111.70000 837.20000 1063.40000 920.90000 1111.70000 920.90000 1208.40000 -99.00000 -99.00000 0 0 4.96000 1.01000 0.23000 1.29000 1 2 9 8 109080 11 False 3 3.60000 2 54.18345
1 gIe 334.90000 0.00000 3 6 334.90000 96.70000 310.30000 82.50000 310.30000 -82.50000 334.90000 -96.70000 418.60000 -48.30000 418.60000 48.30000 334.90000 96.70000 0 0 216.80000 13.84000 4.03000 6.94000 5 8 2 0 102000 0 False 6 7.20000 3 0.00000
1 dIe 251.20000 145.00000 3 5 251.20000 241.70000 226.60000 227.50000 310.30000 82.50000 334.90000 96.70000 334.90000 193.30000 251.20000 241.70000 -99.00000 -99.00000 0 0 116.95000 7.76000 2.42000 4.96000 3 6 2 1 102010 5 False 3 3.60000 3 29.99480
1 cOe 1507.00000 0.00000 5 3 1423.20000 -48.30000 1507.00000 96.70000 1423.20000 48.30000 1423.20000 -48.30000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 0 0 0.81000 0.19000 0.14000 0.76000 1 0 9 0 109000 1 False 3 3.60000 5 0.00000
1 cOe 1507.00000 290.00000 0 3 1507.00000 193.30000 1423.20000 338.40000 1423.20000 241.70000 1507.00000 193.30000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 0 0 0.67000 0.18000 0.14000 0.76000 1 0 10 2 110020 6 False 3 3.60000 0 10.89258
1 aOe 1423.20000 435.00000 0 4 1423.20000 338.40000 1423.20000 531.70000 1339.50000 483.40000 1339.50000 386.70000 1423.20000 338.40000 -99.00000 -99.00000 -99.00000 -99.00000 0 0 2.45000 0.57000 0.18000 1.01000 1 2 10 3 110030 7 False 3 3.60000 0 16.99573
1 bOe 1339.50000 580.00000 1 5 1423.20000 531.70000 1339.50000 676.70000 1255.80000 628.40000 1255.80000 531.70000 1339.50000 483.40000 1423.20000 531.70000 -99.00000 -99.00000 0 0 4.75000 0.97000 0.22000 1.26000 1 2 10 4 110040 8 False 3 3.60000 1 23.41249
1 dOe 1255.80000 725.00000 0 5 1255.80000 628.40000 1297.70000 652.50000 1213.90000 797.50000 1172.10000 773.40000 1172.10000 676.70000 1255.80000 628.40000 -99.00000 -99.00000 0 0 3.04000 0.61000 0.19000 1.03000 1 2 10 5 110050 8 False 2 2.40000 0 29.99875
1 bOe 1172.10000 870.00000 1 5 1255.80000 821.70000 1172.10000 966.70000 1088.40000 918.40000 1088.40000 821.70000 1172.10000 773.40000 1255.80000 821.70000 -99.00000 -99.00000 0 0 4.81000 0.97000 0.23000 1.26000 1 2 10 6 110060 8 False 3 3.60000 1 36.58493
1 aOe 1088.40000 1015.10000 1 4 1172.10000 966.70000 1004.60000 1063.40000 1004.60000 966.70000 1088.40000 918.40000 1172.10000 966.70000 -99.00000 -99.00000 -99.00000 -99.00000 0 0 2.64000 0.57000 0.18000 1.01000 1 2 10 7 110070 9 False 3 3.60000 1 43.00424
1 cOe 1004.60000 1160.10000 0 3 1004.60000 1063.40000 920.90000 1208.40000 920.90000 1111.70000 1004.60000 1063.40000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 0 0 0.71000 0.18000 0.14000 0.76000 1 0 10 8 110080 10 False 3 3.60000 0 49.10875
